,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
118,7017.0,5380.0,,28510.0,24422.0,61000.0,0.0,,ORNE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,65329,463,
119,13642.0,9980.0,,52745.0,42437.0,2200.0,2162.0,,AISNE,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,PICARDIE,120966,466,
120,11160.0,11826.0,,43447.0,40087.0,2000.0,1886.0,,AISNE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,48.0,,PICARDIE,108406,492,
121,3172.0,4684.0,,12708.0,23954.0,2120.0,0.0,,AISNE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,PICARDIE,44518,518,
122,10681.0,9433.0,,33084.0,28305.0,2500.0,0.0,,AISNE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,PICARDIE,81503,544,
123,8449.0,4897.0,,47236.0,31653.0,2000.0,0.0,,AISNE,OUI,78.0,78.0,,78.0,78.0,Ministères économiques et financiers,,,PICARDIE,92235,562,
124,35262.0,30246.0,,130877.0,119221.0,2000.0,0.0,,AISNE,OUI,120.0,120.0,,120.0,120.0,Ministères économiques et financiers,120.0,,PICARDIE,315606,588,
125,13184.0,10521.0,,56059.0,43535.0,2100.0,4259.0,,AISNE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,PICARDIE,127558,614,
126,6849.0,4384.0,,23406.0,16299.0,2300.0,0.0,,AISNE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,PICARDIE,50938,625,
127,10612.0,19126.0,,43356.0,67765.0,8000.0,3536.0,,ARDENNES,OUI,72.0,72.0,,72.0,72.0,Ministères économiques et financiers,72.0,,CHAMPAGNE-ARDENNE,144395,656,
128,13159.0,10099.0,,63440.0,51973.0,8000.0,0.0,,ARDENNES,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,CHAMPAGNE-ARDENNE,138671,662,
129,61346.0,45626.0,,235897.0,157261.0,51100.0,30632.0,,MARNE,OUI,230.0,230.0,,230.0,230.0,Ministères économiques et financiers,230.0,,CHAMPAGNE-ARDENNE,530762,668,
130,22916.0,17672.0,,73265.0,51716.0,51200.0,10311.0,,MARNE,OUI,75.0,75.0,,75.0,75.0,Ministères économiques et financiers,75.0,,CHAMPAGNE-ARDENNE,175880,669,
131,36820.0,37372.0,,92142.0,75653.0,51000.0,16103.000000000002,,MARNE,OUI,190.0,190.0,,190.0,190.0,Ministères économiques et financiers,190.0,,CHAMPAGNE-ARDENNE,258090,670,
132,15591.0,13031.0,,52735.0,50664.0,51100.0,0.0,,MARNE,OUI,66.0,66.0,,66.0,66.0,Ministères économiques et financiers,66.0,,CHAMPAGNE-ARDENNE,132021,671,
133,92459.0,138656.0,,199242.0,202098.0,51000.0,39652.0,,MARNE,OUI,146.0,146.0,,146.0,146.0,Ministères économiques et financiers,146.0,,CHAMPAGNE-ARDENNE,672107,672,
134,19642.0,17051.0,,74146.0,64941.99999999999,10000.0,0.0,,AUBE,OUI,90.0,90.0,,90.0,90.0,Ministères économiques et financiers,,,CHAMPAGNE-ARDENNE,175781,673,
